"Groups","Category","Barcode Ref","Product Name","Cost","Selling Price","VAT £","Expr1007","Gross Margin £","Gross Margin %","Qty Stock (Current Mth)","Sales Value (Current Mth)","Stock Value (Current Mth)","Purchases Qty","Sales Qty","Gross Margin £ Total","Net Selling Price"
"Books","(children's Books) Life & Time","9781842555040","I, Coriander","4,19","6,99","0,00","6,99","2,80","40,06%","7,00","6,99","29,33","0,00","1,00","2,80","6,99"
"Books","(children's Books) Life & Time","9781906714178","Avoid Being a Tudor Actor","7,19","11,99","0,00","11,99","4,80","40,03%","13,00","0,00","93,47","0,00","0,00","0,00","11,99"
"Books","(children's Books) Life & Time","9781845074975","Sam Stars pb","4,19","6,99","0,00","6,99","2,80","40,06%","36,00","34,95","150,84","0,00","5,00","14,00","6,99"
"Books","(children's Books) Life & Time","9781906714185","Danger zone: Shakey Actor (pb)","4,19","6,99","0,00","6,99","2,80","40,06%","11,00","27,96","46,09","0,00","4,00","11,20","6,99"
"Books","(children's Books) Life & Time","9781741145359","Boy Bear Baron Bard pb","4,19","6,99","0,00","6,99","2,80","40,06%","52,00","0,00","217,88","0,00","0,00","0,00","6,99"
"Books","(children's Books) Life & Time","9781407117744","Terrifying Tudors","3,59","5,99","0,00","5,99","2,40","40,07%","11,00","29,95","39,49","0,00","5,00","12,00","5,99"
"Books","(children's Books) Life & Time","9781407104898","Terrible Tudors","3,59","5,99","0,00","5,99","2,40","40,07%","11,00","23,96","39,49","0,00","4,00","9,60","5,99"
"Books","(children's Books) Life & Time","9780749679170","Building History","3,59","5,99","0,00","5,99","2,40","40,07%","53,00","89,85","190,27","0,00","15,00","36,00","5,99"
"Books","(children's Books) Life & Time","9781905638598","A Shakespearean Theatre","4,79","7,99","0,00","7,99","3,20","40,05%","46,00","391,51","220,34","0,00","49,00","156,80","7,99"
"Books","(children's Books) Other Title","9780747588863","at the house of the magician","3,23","6,99","0,00","6,99","3,76","53,79%","8,00","13,98","25,84","0,00","2,00","7,52","6,99"
"Books","(children's Books) Other Title","9781842552223","Story of London","3,59","5,99","0,00","5,99","2,40","40,07%","5,00","59,90","17,95","0,00","10,00","24,00","5,99"
"Books","(children's Books) Other Title","9781438941509","Chasing Will","4,00","5,99","0,00","5,99","1,99","33,22%","3,00","5,99","12,00","0,00","1,00","1,99","5,99"
"Books","(children's Books) Other Title","9780747597322","fool's gold","5,96","10,99","0,00","10,99","5,03","45,77%","7,00","21,98","41,72","0,00","2,00","10,06","10,99"
"Books","(children's Books) Other Title","9780747575825","Eliza Rose","2,79","6,99","0,00","6,99","4,20","60,09%","8,00","41,94","22,32","0,00","6,00","25,20","6,99"
"Books","(children's Books) Other Title","9780713673807","How to be a Brilliant Writer","4,19","6,99","0,00","6,99","2,80","40,06%","13,00","62,91","54,47","0,00","9,00","25,20","6,99"
"Books","(children's Books) Other Title","9780439959001","Loathsome London","2,99","4,99","0,00","4,99","2,00","40,08%","0,00","4,99","0,00","0,00","1,00","2,00","4,99"
"Books","(children's Books) Other Title","9780141307992","King of Shadows","3,59","6,99","0,00","6,99","3,40","48,64%","12,00","27,96","43,08","0,00","4,00","13,60","6,99"
