"Product Code","Product Title","Picture","Description","Category","Sub-Category","Retail Price","VAT Code","Tags","Sizes"
547812,"The Tempest T-shirt","thought tee","“Flout 'em and scout 'em, and scout 'em and flout 'em; thought is free”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Long-sleeved t-shirt featuring a punk inspired print",,,,,"Tempest","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. Iron print on reverse",,,,,,
,,,,,,,,,
23574125,"Romeo & Juliet T-shirt","R&J tee","“Two households, both alike in dignity”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring the prologue from Romeo and Juliet",,,,,"Romeo",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Juliet",
,,,"100% cotton. Iron print on reverse",,,,,"Love",
,,,,,,,,"Quote",
,,,,,,,,"Heart",
,,,,,,,,"Valentine",
,,,,,,,,,
326599,"Hamlet T-shirt  ",,"“To be or not to be, that is the question”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring the Prince of Denmark’s most famous speech",,,,,"Hamlet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Skull",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,,
55421,"A Midsummer Night’s Dream T-shirt ","midsummer tee","Women’s short-sleeved fitted t-shirt celebrating A Midsummer Night’s Dream","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Midsummer",
,,,"100% cotton. Iron print on reverse",,,,,"Dream",
,,,,,,,,"Fairy",
,,,,,,,,"Quote",
,,,,,,,,"Fool",
,,,,,,,,,
225588,"Globe Theatre T-shirt (White) ","Globe tee 1","Short-sleeved t-shirt featuring a bold black print","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. Iron print on reverse",,,,,"Theatre",
,,,,,,,,"Shakespeare",
,,,,,,,,,
225588,"Globe Theatre T-shirt (Black) ","globe tee black","Short-sleeved t-shirt featuring a bold black print","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. Iron print on reverse",,,,,"Theatre",
,,,,,,,,"Shakespeare",
,,,,,,,,,
542117,"Macbeth ‘Wicked’ T-shirt  ","wicked tee 1","“By the pricking of my thumbs, something wicked this way comes”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a bold gloss black and orange print",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. Iron print on reverse",,,,,"Halloween",
,,,,,,,,,
85245,"Macbeth ‘Spot’ T-shirt (Black) ","spot tee1","“Out damned spot! Out I say!”","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a gruesome blood spatter",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,"Halloween",
,,,,,,,,,
85245,"Macbeth ‘Spot’ T-shirt (White)","spot tee white","“Out damned spot! Out I say!”","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a gruesome blood spatter",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,"Halloween",
,,,,,,,,,
1698754,"Complete Works T-shirt (Olive Green)","comp green 2","Short-sleeved organic cotton t-shirt, printed with the names of all 38 of Shakespeare’s plays.","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Printed using low carbon techniques",,,,,"Shakespeare",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Organic",
,,,"100% cotton. Iron print on reverse",,,,,"Globe",
,,,,,,,,,
1698754,"Complete Works T-shirt (Navy) ","comp tee2","Short-sleeved organic cotton t-shirt, printed with the names of all 38 of Shakespeare’s plays.","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Printed using low carbon techniques",,,,,"Shakespeare",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Organic",
,,,"100% cotton. Iron print on reverse",,,,,"Globe",
,,,,,,,,,
124578,"Hamlet Tote Bag ","ophelia bag","“He is dead and gone, lady. He is dead and gone”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Tote bag printed with the words of Ophelia’s song. Contrast printed lining and sturdy handles",,,,,"Tote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hamlet",
,,,"100% cotton. ",,,,,"Quote",
,,,,,,,,"Skull",
,,,,,,,,"Ophelia",
,,,,,,,,,
55216,"A Midsummer Night’s Dream Bag ","midsummer bag","“What angel wakes me from my flowery bed?”","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Handy bag featuring a quote from A Midsummer Night’s Dream",,,,,"Midsummer",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Dream",
,,,"100% cotton. ",,,,,"Fairy",
,,,,,,,,"Quote",
,,,,,,,,"Angel",
,,,,,,,,,
665544,"All The World’s A Stage Bag ","stage bag","Handy bag featuring a famous quote from As You Like It","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"As You Like It",
,,,"100% cotton. ",,,,,"Pink",
,,,,,,,,"Stage",
,,,,,,,,"Theatre",
,,,,,,,,"Quote",
,,,,,,,,,
33521,"Globe Theatre Bag (White) ","globe bag white","Handy bag with a bold, gloss black print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. ",,,,,"Shakespeare",
,,,,,,,,,
33521,"Globe Theatre Bag (Black) ","globe bag black","Handy bag with a bold, gloss black print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. ",,,,,"Shakespeare",
,,,,,,,,,
25589,"All's Well That Ends Well Bag",,"Handy bag with a geometric print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. ",,,,,"All's Well",
,,,,,,,,,
74946478,"Macbeth ‘Wicked’ Bag ","wicked bag 1","By the pricking of my thumbs, something wicked this way comes”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Gloss black PVC shoulder bag featuring a quote from Macbeth",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"PVC with a woven handle",,,,,"Halloween",
,,,,,,,,,
887755,"Macbeth ‘Spot’ Tote ","spot bag","“Out damned spot! Out I say!”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Tote bag featuring a quote from Macbeth. The lining is printed with a gory blood spatter!",,,,,"Tote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,"100% cotton. ",,,,,"Quote",
,,,,,,,,"Blood",
,,,,,,,,,
112565,"Bard Bag ","bard bag 1","Fantastic strong, yet lightweight bag made from recyclable plastic fibres","Clothing","Bags","£2,00",1,"Bag","N"
