30	688478743089		A01       	BLK 	_ 	EA	0	AT ONCE
30	688478647332		A0114     	BLK 	_ 	EA	0	AT ONCE
30	688478647349		A0114     	PNK 	_ 	EA	0	AT ONCE
30	688478004524		A0181     	PNK 	_ 	EA	0	AT ONCE
30	688478450239		A0181     	WHT 	_ 	EA	0	AT ONCE
30	688478004531		A0182     	PNK 	_ 	EA	0	AT ONCE
30	688478743096	8857014290352	A0185     	PNK 	_ 	EA	0	AT ONCE
30	688478743133		A0189     	PNK 	_ 	EA	0	AT ONCE
30	688478349120		A0190     	EPK 	_ 	EA	0	AT ONCE
30	688478004609	8857014263639	A0525     	EPK 	_ 	EA	0	AT ONCE
30	688478647356		A06       	PNK 	_ 	EA	0	AT ONCE
30	688478647370		A0612     	BLK 	_ 	EA	0	AT ONCE
30	688478450246		A0635     	BLK 	_ 	EACH	0	AT ONCE
30	688478450253		A0635     	TAN 	_ 	EACH	0	AT ONCE
30	688478450260		A0635     	WHT 	_ 	EACH	0	AT ONCE
30	688478743171		A0700L    	BLK 	_ 	P	0	AT ONCE
30	688478743188		A0700L    	BLK 	_ 	S	0	AT ONCE
30	688478743195		A0700L    	BLK 	_ 	M	0	AT ONCE
30	688478743201		A0700L    	BLK 	_ 	L	0	AT ONCE
30	688478743218		A0700L    	BLK 	_ 	XL	0	AT ONCE
30	688478743225		A0912     	BLK 	_ 	S/M	0	AT ONCE
30	688478743232		A0912     	BLK 	_ 	M/L	0	AT ONCE
30	688478743249		A0912     	BLM 	_ 	S/M	0	AT ONCE
30	688478743256		A0912     	BLM 	_ 	M/L	0	AT ONCE
30	688478743263		A0912     	NAV 	_ 	S/M	0	AT ONCE
30	688478743270		A0912     	NAV 	_ 	M/L	0	AT ONCE
30	688478743287		A28       	LPK 	_ 	EA	0	AT ONCE
30	688478743294		A28       	SLV 	_ 	EA	0	AT ONCE
30	688478743300		A29       	BLK 	_ 	EA	0	AT ONCE
30	688478743317		A29       	LPK 	_ 	EA	0	AT ONCE
30	688478743324		A29       	SLV 	_ 	EA	0	AT ONCE
30	688478743331		A30       	BLK 	_ 	EA	0	AT ONCE
30	688478743348		A30       	LPK 	_ 	EA	0	AT ONCE
30	688478743355		A30       	SLV 	_ 	EA	0	AT ONCE
30	688478743362		A31       	BLK 	_ 	EA	0	AT ONCE
30	688478743379		A31       	LPK 	_ 	EA	0	AT ONCE
30	688478743386		A31       	SLV 	_ 	EA	0	AT ONCE
30	688478743393		A32       	SLV 	_ 	EA	0	AT ONCE
30	688478743409		A33       	SLV 	_ 	EA	0	AT ONCE
30	688478743454	8857014532773	A35       	BLP 	_ 	EA	0	AT ONCE
30	688478743461	8857014532797	A35       	PNK 	_ 	EA	0	AT ONCE
30	688478743485		A36       	BLK 	_ 	EA	0	AT ONCE
30	688478880593		A44       	BLD 	_ 	EA	0	AT ONCE
30	688478880609		A44       	BRN 	_ 	EA	0	AT ONCE
30	688478743522	8857014533954	A46       	BLK 	_ 	EA	0	AT ONCE
30	688478861417	8857014533961	A46       	BUR 	_ 	EA	0	AT ONCE
30	688478743539	8857014533978	A46       	LAV 	_ 	EA	0	AT ONCE
30	688478743546	8857014533985	A46       	LPK 	_ 	EA	0	AT ONCE
30	688478861448	8857014534029	A46       	NAV 	_ 	EA	0	AT ONCE
30	688478824610	8857014534043	A46       	PTB 	_ 	EA	0	AT ONCE
30	688478861462	8857014534036	A46       	WHT 	_ 	EA	0	AT ONCE
30	688478743553	8857014412440	A47       	BBL 	_ 	EA	0	AT ONCE
30	688478743560	8857014412457	A47       	BLK 	_ 	EA	0	AT ONCE
30	688478743577	8857014412464	A47       	LAV 	_ 	EA	0	AT ONCE
30	688478743584	8857014412471	A47       	LPK 	_ 	EA	0	AT ONCE
30	688478824627	8857014412488	A47       	PTB 	_ 	EA	0	AT ONCE
30	688478861479	8857014412433	A47       	WHT 	_ 	EA	0	AT ONCE
30	688478841235	8857014401994	A58       	BLK 	_ 	EA	0	AT ONCE
30	688478841242	8857014402007	A58       	BUR 	_ 	EA	0	AT ONCE
30	688478841259	8857014402014	A58       	FOR 	_ 	EA	0	AT ONCE
30	688478841266	8857014402021	A58       	LAV 	_ 	EA	0	AT ONCE
30	688478841273	8857014402038	A58       	LPK 	_ 	EA	0	AT ONCE
30	688478841280	8857014402045	A58       	MBY 	_ 	EA	0	AT ONCE
30	688478841297	8857014402052	A58       	NAV 	_ 	EA	0	AT ONCE
30	688478841303	8857014402069	A58       	PTB 	_ 	EA	0	AT ONCE
30	688478841310	8857014402076	A58       	RYL 	_ 	EA	0	AT ONCE
30	688478841327	8857014402083	A58       	WHT 	_ 	EA	0	AT ONCE
30	688478880616	8857014206001	A60       	BLK 	_ 	EA	0	AT ONCE
30	688478743591		A6001B    	NAT 	_ 	EA	0	AT ONCE
30	688478864913		A900      	NDE 	_ 	S	0	AT ONCE
30	688478864906		A900      	NDE 	_ 	M	0	AT ONCE
30	688478864920	8857015678289	A901M     	NDE 	_ 	EA	0	AT ONCE
30	688478864937	8857015678265	A901S     	NDE 	_ 	EA	0	AT ONCE
30	688478864944	8857015246877	A902      	NDE 	_ 	EA	0	AT ONCE
30	688478864951	8857015246860	A903      	NDE 	_ 	EA	0	AT ONCE
30	688478864968	8857015246808	A904L     	NDE 	_ 	L/XL	0	AT ONCE
30	688478864975	8857015246792	A904S     	NDE 	_ 	S/M	0	AT ONCE
30	688478864999	8857015246884	A906      	NDE 	_ 	EA	0	AT ONCE
30	688478865002		A907      	NDE 	_ 	EA	0	AT ONCE
30	688478865019	8857015246846	A908      	NDE 	_ 	EA	0	AT ONCE
30	688478865026	8857015246815	A909      	NDE 	_ 	EA	0	AT ONCE
30	688478865033	8857015678883	A910M     	NDE 	_ 	EA	0	AT ONCE
30	688478865040	8857015246822	A910S     	NDE 	_ 	EA	0	AT ONCE
30	688478865057		A911      	NDE 	_ 	EA	0	AT ONCE
