50	730266247078		045XG     	ENSEMBLE	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	C 	8	18	0			
50	730266247283		045XL     	ENSEMBLE	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	C 	5.5	18	0			
50	730266247337		045XL     	ENSEMBLE	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	C 	8	18	0			
50	730266247382		045XL     	ENSEMBLE	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	C 	10.5	18	0			
50	730266215701		077XL     	AIRABESQUE CANVAS	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	D 	4	21	0			
50	730266215718		077XL     	AIRABESQUE CANVAS	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	D 	4.5	21	0			
50	730266101400		077XL     	AIRABESQUE CANVAS	50	LEO'S DANCEWEAR LLC	BPK 	BALLET PNK	D 	10	21	0			
50	730266213684		077XL     	AIRABESQUE CANVAS	50	LEO'S DANCEWEAR LLC	WHT 	WHITE	D 	9	21	0			
50	730266213400		5068XL    	SLIP ON JAZZ TAP	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	W 	7	71	0			
50	730266363174		7038XG    	PROTEGE S/S JAZZ	50	LEO'S DANCEWEAR LLC	BLK 	BLACK	M 	3	31.5	0			
50	730266000284		LA1001    	7/8" NYLON RIBBON	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	EA	24.5	0			
50	730266000291		LA1002    	3/8" ELASTIC, 10 YDS	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	EA	7.5	0			
50	730266022873		LA1004    	1 OZ LAMBS WOOL	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	EA	7.5	0			
50	730266026901		LA1005    	POINTE SHOE BAG CLIP	50	LEO'S DANCEWEAR LLC	PNK 	PINK	_ 	EA	47.5	0			
50	730266000307		LA236     	HEEL TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	Y	10	0			
50	730266000314		LA236     	HEEL TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	Z	10	0			
50	730266000321		LA236     	HEEL TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	00	10	0			
50	730266000345		LA245     	TOE TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	2	10	0			
50	730266000352		LA245     	TOE TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	3	10	0			
50	730266000369		LA245     	TOE TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	3.5	10	0			
50	730266000376		LA245     	TOE TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	4	10	0			
50	730266000383		LA245     	TOE TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	5	10	0			
50	730266000413		LA246     	HEEL TAPS	50	LEO'S DANCEWEAR LLC	N/A 	NO COLOR	_ 	D	10	0			
