"NAME","ADDR 1","City","State","Zip","Phone#"
"1 DANCIN' STOP, LLC","250 EAST MAIN STREET","PULLMAN","WA",99163,(509) 334-3124
"10TH STREET DANCEWEAR","5240 N. 10TH STREET #7","McALLEN","TX",78504,(956) 618-0789
"14TH STREET SHOES CENTER","4311 14TH AVE","BROOKLYN","NY",11219,(718) 436-6910
"1887 DANCE SHOP","2206 UNION ST.","SAN FRANCISCO","CA",94123,(415) 441-1887
"220 DANCE CENTRAL","220 S.E. DOUGLAS","LEES SUMMIT","MO",64063,(816) 554-6033
"3 MONKEYS CHILDRENS BOUTIQUE","3301 MARKET STREET,  SUITE 102","ROGERS","AR",72758,(479) 271-0701
"360 DANCE FITTERS","29 WEST HIGH STREET","CARLISLE","PA",17013,(717) 249-7313
"5678 DANCEWEAR  DEFINED","475 W. SOUTHLAKE BLVD","SOUTHLAKE","TX","76092",(817) 416-5678
"98% ANGEL","3835 CROSS CREEK ROAD #1B","MALIBU","CA",90265,(310) 456-0069
"A SHOE GROWS IN BROOKLYN","450 7th AVENUE","BROOKLYN","NY",11215,(347) 907-3873
"A SHOE INN","558 CENTRAL AVENUE","CEDARHURST","NY",11516,(516) 295-0026
"A.K.A DANCE","326 MARKET STREET","LEMOYNE","PA",17043,(717) 737-6273
"A-1 DANCE & THEATRICAL","22120 REDWOOD RD","CASTRO VALLEY","CA",94546,(510) 537-8288
"ABC DANCE SUPPLIES","1915 KUTZTOWN RD","READING","PA","19604",(610) 921-2518
"ABC DANCE SUPPLIES","179 WANNER ROAD","READING","PA",19606,(610) 929-5374
"ABIGAIL'S CHILDREN'S BOUTIQUE","93 CENTRAL ATREET","WELLESLEY","MA",02482,(781) 235-3333
"ACADEMY  OF DANCE ARTS","2224 E.MICHIGAN","LANSING","MI",48912,(517) 372-9887
"ACADIA DANCEWEAR","311 CHILLICOTHE STREET","PORTSMOUTH","OH",45662,(740) 353-5211
"ACTION ON STAGE","5610 MCARDLE RD","CORPUS CHRISTI","TX",78412,(361) 992-5444
"ACTION WEAR","333 BROAD ST","ELYRIA","OH",44035,(440) 323-4389
"ADDISON CRAIG","1155 SASSCO HILL ROAD","FAIRFIELD","CT",06824,(941) 388-3400
"ADORALE","CARR #2 KM 82.3","HATILLO","PR","00659",(787) 881-9393
"AEROBIC & DANCEWEAR SHOPPE","16250 SW BRYANT ROAD","LAKE OSWEGO","OR",97035,(503) 699-0544
"ALIXANDRA COLLECTIONS","40 SOUTH WASHINGTON STREET","HINSDALE","IL",600521,(630) 789-0022
"ALL ABOUT DANCEWEAR","1617 WATER STREET SUITE A","MINDEN","NV",89423,(775) 782-3425
"ALL ABOUT YOU","801 S. LEWIS ST. #1","NEW IBERIA","LA",70560,(337) 560-8355
"ALL AMERICAN SPIRIT FASHIONS","170 PARK AVE.","IDAHO FALLS","ID",83402,(208) 529-0604
"ALL AROUND DANCE","2429 NORTH GREGG AVE","FAYETTEVILLE","AR",72703,(479) 245-4110
"ALL THAT & JAZZ","442 WEST SOLOMON STREET","GRIFFIN","GA","30223",(770) 882-6513
"ALL THAT JAZZ","2430 WEST COMMERCE","OCEAN SPRINGS","MS",39564,(228) 875-5069
"ALL THAT JAZZ","1308 SOUTH TWIN CITY HWY","NEDERLAND","TX",77627,(409) 721-5700
"ALL THAT JAZZ","105 CHARLES ELDRIDGE DR.","LAKEVILLE","MA",02347,(508) 946-5333
"ALL THAT JAZZ","130 WEST MAIN ST. SUITE 114","COLLEGEVILLE","PA",19426,(610) 831-0800
"ALL THAT JAZZ","218 H STREET","BAKERSFIELD","CA",93304,(661) 324-5844
"ALL THAT JAZZ","2000 VILLAGE RUN ROAD SUITE 208","WEXFORD","PA",15090,(724) 933-0555
"ALL THAT JAZZ","136 SIMSBURY ROAD","AVON","CT",06001,(860) 674-9987
"ALL THAT JAZZ DANCE APPAREL","9840-B RAVENNA ROAD","TWINSBURG","OH",44087,(330) 405-6188
"ALL THAT SHIMMERS DANCE &     ACTIVE WEAR","50 SW 15TH STREET","POMPANO BEACH","FL",33060,(954) 782-2355
"ALLEGRO DANCE APPAREL","502 OLD STATE ROUTE 74","CINCINNATI","OH",45244,(513) 528-5578
"ALLEGRO DANCE BOUTIQUE","724 S. NORTHWEST HWY","BARRINGTON","IL","60010",(847) 277-1009
"ALLEGRO DANCE BOUTIQUE","2114  CENTRAL STREET","EVANSTON","IL",60201,(847) 733-8460
"ALLIGATOR ALLEY","3466 DOUGLAS RD.","SOUTH BEND ","IN",46635,(574) 247-1590
"ALONG CAME A SPIDER","938 AVOCADO AVE","NEW PORT BEACH","CA",92660,(702) 429-7476
"ALTITUDE","48 E. BROADWAY","JACKSON","WY",83001,(307) 733-4719
"ALVAS","1417 W. 8TH ST.","SAN PEDRO","CA",90732,(310) 519-1314
"ALWAYS THE CHILDREN","39 SOUTH GREENLEY AVENUE","CHAPPAQUA","NY",10514,(914) 238-7500
"AME MI","4714 ADMIRALTY WAY","MARINA DEL REY","CA",90292,(310) 733-6510
"AMORE DANCEWEAR","2128 BAY STREET","SAGINAW","MI",48602,(989) 792-6673
"ANDI'S BAY HEAD","68 BRIDGE AVE","BAY HEAD","NJ",08742,(732) 892-5564
"ANGEL DANCE SHOP","1465 SOUTH DANVILLE","ABILENE","TX","79605",(325) 232-7536
"ANGELIQUE BABY","5519 MAGAZINE STREET","NEW ORLEANS","LA",70115,(504) 899-8992
"ANGELIQUE BATON ROUGE","17455 PERKINS ROAD, STE B","BATON ROUGE","LA",70810,(225) 757-5905
"ANGELIQUE SHOES","5421 MAGAZINE STREET","NEW ORLEANS","LA",70115,(504) 891-8992
